Username,League Name,League ID,Number of Teams,Draft Status
King0fTheJungle,Fantasy League 9/4,1134249306392903680,10,pre_draft
King0fTheJungle,Ihavebigplans,1075220533895192576,12,in_season
King0fTheJungle,Knee Cap Biter Dynasty,1092325757902311424,12,in_season
King0fTheJungle,FBC Charlotte 2024,1091788781880958976,12,pre_draft
King0fTheJungle,SVSU,1129297904549707776,10,in_season
DaTingGoSkrrup,Actual Felons,1124840451505930240,8,in_season
DaTingGoSkrrup,Actual Felons,1124826027143495680,8,pre_draft
DaTingGoSkrrup,Ihavebigplans,1075220533895192576,12,in_season
DaTingGoSkrrup,The Josh Rick Show,1051536798528204800,10,in_season
SJMcBuckets,Ihavebigplans,1075220533895192576,12,in_season
OUGrizzlies, A League of Our Own,1124830182557896704,12,pre_draft
OUGrizzlies,FBC Charlotte 2024,1091788781880958976,12,pre_draft
OUGrizzlies,Ihavebigplans,1075220533895192576,12,in_season
OUGrizzlies,Annexation of Charlotte Dynasty Football League,1050913139413442560,10,in_season
Msurules21,FBC Charlotte 2024,1091788781880958976,12,pre_draft
Msurules21,Ihavebigplans,1075220533895192576,12,in_season
HDSJ,YourMom,1124205197112295424,12,pre_draft
HDSJ,Ihavebigplans,1075220533895192576,12,in_season
gdkasper,Ihavebigplans,1075220533895192576,12,in_season
gingermagic,Ihavebigplans,1075220533895192576,12,in_season
gingermagic,Buttered Sausage,1073972237201469440,12,pre_draft
gingermagic,The Josh Rick Show,1051536798528204800,10,in_season
BigMcnugget,Ihavebigplans,1075220533895192576,12,in_season
BigMcnugget,The Josh Rick Show,1051536798528204800,10,in_season
sjredwing33,Carterâ€™s Keeper League,1133810654428741632,10,pre_draft
sjredwing33,Ihavebigplans,1075220533895192576,12,in_season
FeeltheBreeeeeees,SVSU,1129297904549707776,10,in_season
FeeltheBreeeeeees,Jamo Zone,1106356526232526848,12,in_season
FeeltheBreeeeeees,Knee Cap Biter Dynasty,1092325757902311424,12,in_season
FeeltheBreeeeeees,Ihavebigplans,1075220533895192576,12,in_season
yaboygert,Knee Cap Biter Dynasty,1092325757902311424,12,in_season
yaboygert,Ihavebigplans,1075220533895192576,12,in_season
